fips,ruc93,ruc03,ruc13,metro93,metro03,metro13,year,fmr,tot_pop,black_pct,female_pct,county,stname,pay,employment,establishments,emp,unemp,long,lat,long_d,lat_d,return_katrina,exmpt_katrina,agi_katrina,return_katrina_eyer,exmpt_katrina_eyer,agi_katrina_eyer,return_katrina_eyer_noho,exmpt_katrina_eyer_noho,agi_katrina_eyer_noho,return_own,exmpt_own,agi_own,totalValidRegistrations,validCallCenterRegistrations,validWebRegistrations,validMobileRegistrations,ihpReferrals,ihpEligible,ihpAmount,haReferrals,haEligible,haAmount,onaReferrals,onaEligible,onaAmount,st_fips,st_abrv,st_name,cty_fips,cty_name,disasters,ihp,iap,pap,hmp,area_sqm
22057,3,3,3,metro,metro,metro,1993,447,NA,NA,NA,NA,NA,19985,22917,1670,34093,2190,-90.43786512111947,29.57240907169766,-90.43786512111947,29.57240907169766,244,515,4793,0.02588035638523547,0.028644529729128426,0.018207027540360875,0.02588035638523547,0.028644529729128426,0.018207027540360875,25877,65553,742897,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,LA,Louisiana,057,Lafourche Parish,11,0,10,9,1,1204.53
22071,0,1,1,metro,metro,metro,1993,451,NA,NA,NA,NA,NA,25903,264212,12810,183388,20372,-89.92944735360277,30.069110849409217,-89.92944735360277,30.069110849409217,4075,6923,102770,0.43222316504030545,0.38506034818399243,0.39038936372269706,0.43222316504030545,0.38506034818399243,0.39038936372269706,154197,338898,4357066,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,LA,Louisiana,071,Orleans Parish,1,0,1,1,0,349.978
22075,1,1,1,metro,metro,metro,1993,495,NA,NA,NA,NA,NA,28964,15544,797,9203,1021,-89.61071603949237,29.4372379556305,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7900,20265,227623,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,LA,Louisiana,075,Plaquemines Parish,7,0,7,6,0,1172.743
22087,0,1,1,metro,metro,metro,1993,451,NA,NA,NA,NA,NA,20653,14101,1014,28070,3113,-89.66554926474849,29.869183774780762,-89.66554926474849,29.869183774780762,39,70,1009,0.004136614340263046,0.0038934312253184273,0.003832858499525166,0.004136614340263046,0.0038934312253184273,0.003832858499525166,22521,52813,626903,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,LA,Louisiana,087,St. Bernard Parish,10,0,10,8,0,531.22
22089,0,1,1,metro,metro,metro,1993,451,NA,NA,NA,NA,NA,30238,18936,730,18944,2343,-90.35757335431146,29.91314982814965,-90.35757335431146,29.91314982814965,53,109,1293,0.0056215528213831144,0.0060626286222815505,0.004911680911680912,0.0056215528213831144,0.0060626286222815505,0.004911680911680912,14500,37453,511806,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,LA,Louisiana,089,St. Charles Parish,10,0,9,8,0,409.689
22095,1,1,1,metro,metro,metro,1993,451,NA,NA,NA,NA,NA,24129,10824,593,16615,2574,-90.50792113802291,30.112644133854058,-90.50792113802291,30.112644133854058,139,336,2782,0.01474331777683496,0.01868846988152845,0.010567901234567901,0.01474331777683496,0.01868846988152845,0.010567901234567901,13059,35081,396320,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,LA,Louisiana,095,St. John the Baptist Parish,9,0,8,7,0,349.357
22103,0,1,1,metro,metro,metro,1993,451,NA,NA,NA,NA,NA,18877,39982,3208,69220,6440,-89.96507421897307,30.40707395540083,-89.96507421897307,30.40707395540083,1455,3522,59717,0.15432753500212135,0.19589521107959285,0.2268452041785375,0.15432753500212135,0.19589521107959285,0.2268452041785375,50532,127568,1971811,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,LA,Louisiana,103,St. Tammany Parish,13,0,12,9,0,1112.279
22109,3,3,3,metro,metro,metro,1993,447,NA,NA,NA,NA,NA,23251,36244,2303,38159,2457,-90.83826892736919,29.44769871397419,-90.83826892736919,29.44769871397419,270,581,6774,0.028638099278744167,0.03231547917014294,0.025732193732193733,0.028638099278744167,0.03231547917014294,0.025732193732193733,31200,80408,906581,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,LA,Louisiana,109,Terrebonne Parish,11,0,10,8,1,1425.964
22051,0,1,1,metro,metro,metro,1994,469,NA,NA,NA,NA,NA,22652,190959,12366,217163,18350,-90.14520392992787,29.871744022448087,-90.14520392992787,29.871744022448087,3403,6216,95069,0.3369640558471136,0.3325842696629214,0.3234024458694062,0.3369640558471136,0.3325842696629214,0.3234024458694062,158712,352032,5325373,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,LA,Louisiana,051,Jefferson Parish,10,0,10,7,1,497.225
22057,3,3,3,metro,metro,metro,1994,379,NA,NA,NA,NA,NA,20787,24005,1743,35210,2155,-90.43786512111947,29.57240907169766,-90.43786512111947,29.57240907169766,233,508,5888,0.023071591246658085,0.027180310326377743,0.020029595359991836,0.023071591246658085,0.027180310326377743,0.020029595359991836,26030,65496,790520,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,LA,Louisiana,057,Lafourche Parish,11,0,10,9,1,1204.53
22071,0,1,1,metro,metro,metro,1994,469,NA,NA,NA,NA,NA,26285,266344,13281,186466,20468,-89.92944735360277,30.069110849409217,-89.92944735360277,30.069110849409217,4401,7118,113106,0.43578572135855037,0.38084537185660783,0.38476009048696275,0.43578572135855037,0.38084537185660783,0.38476009048696275,151986,325308,4411836,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,LA,Louisiana,071,Orleans Parish,1,0,1,1,0,349.978
22075,1,1,1,metro,metro,metro,1994,469,NA,NA,NA,NA,NA,30416,15801,817,9415,1051,-89.61071603949237,29.4372379556305,-89.61071603949237,29.4372379556305,14,30,521,0.0013862758688979106,0.0016051364365971107,0.0017723198339938428,0.0013862758688979106,0.0016051364365971107,0.0017723198339938428,7956,20056,240620,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,LA,Louisiana,075,Plaquemines Parish,7,0,7,6,0,1172.743
22087,0,1,1,metro,metro,metro,1994,469,NA,NA,NA,NA,NA,21673,14449,1078,28803,3053,-89.66554926474849,29.869183774780762,-89.66554926474849,29.869183774780762,38,60,660,0.0037627487870086147,0.0032102728731942215,0.0022451652407599544,0.0037627487870086147,0.0032102728731942215,0.0022451652407599544,22529,52393,659915,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,LA,Louisiana,087,St. Bernard Parish,10,0,10,8,0,531.22
22089,0,1,1,metro,metro,metro,1994,469,NA,NA,NA,NA,NA,31368,20024,786,19734,2003,-90.35757335431146,29.91314982814965,-90.35757335431146,29.91314982814965,66,140,2555,0.006535300524804436,0.00749063670411985,0.008691510894154066,0.006535300524804436,0.00749063670411985,0.008691510894154066,14616,37478,539777,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,LA,Louisiana,089,St. Charles Parish,10,0,9,8,0,409.689
22095,1,1,1,metro,metro,metro,1994,469,NA,NA,NA,NA,NA,24431,11010,637,17109,2163,-90.50792113802291,30.112644133854058,-90.50792113802291,30.112644133854058,128,295,3026,0.012674522229923754,0.015783841626538255,0.010293742452332761,0.012674522229923754,0.015783841626538255,0.010293742452332761,12998,33992,413079,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,LA,Louisiana,095,St. John the Baptist Parish,9,0,8,7,0,349.357
22103,0,1,1,metro,metro,metro,1994,469,NA,NA,NA,NA,NA,19194,42992,3588,73480,6218,-89.96507421897307,30.40707395540083,-89.96507421897307,30.40707395540083,1574,3810,66295,0.15585701554609369,0.20385232744783308,0.22552004490330482,0.15585701554609369,0.20385232744783308,0.22552004490330482,52122,130551,2116071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,LA,Louisiana,103,St. Tammany Parish,13,0,12,9,0,1112.279
22109,3,3,3,metro,metro,metro,1994,379,NA,NA,NA,NA,NA,23467,38443,2451,39517,2402,-90.83826892736919,29.44769871397419,-90.83826892736919,29.44769871397419,242,513,6845,0.0239627685909496,0.027447833065810594,0.02328508495909377,0.0239627685909496,0.027447833065810594,0.02328508495909377,31599,80870,968516,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,LA,Louisiana,109,Terrebonne Parish,11,0,10,8,1,1425.964
22051,0,1,1,metro,metro,metro,1995,477,NA,NA,NA,NA,NA,23463,197804,12730,220182,15859,-90.14520392992787,29.871744022448087,-90.14520392992787,29.871744022448087,2917,5382,85679,0.33455671521963526,0.3306912442396313,0.32565431892298685,0.33455671521963526,0.3306912442396313,0.32565431892298685,160354,353623,5758555,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,LA,Louisiana,051,Jefferson Parish,10,0,10,7,1,497.225
22057,3,3,3,metro,metro,metro,1995,377,NA,NA,NA,NA,NA,21130,24940,1780,35799,1777,-90.43786512111947,29.57240907169766,-90.43786512111947,29.57240907169766,239,487,5701,0.027411400389952975,0.029923195084485408,0.021668731803358446,0.027411400389952975,0.029923195084485408,0.021668731803358446,29024,72240,926962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,LA,Louisiana,057,Lafourche Parish,11,0,10,9,1,1204.53
22071,0,1,1,metro,metro,metro,1995,477,NA,NA,NA,NA,NA,27390,268356,13339,188107,19010,-89.92944735360277,30.069110849409217,-89.92944735360277,30.069110849409217,3669,5857,94425,0.42080513820392246,0.35987711213517665,0.35889668488547993,0.42080513820392246,0.35987711213517665,0.35889668488547993,150124,319610,4570865,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,LA,Louisiana,071,Orleans Parish,1,0,1,1,0,349.978
22075,1,1,1,metro,metro,metro,1995,477,NA,NA,NA,NA,NA,30700,16357,820,9636,869,-89.61071603949237,29.4372379556305,-89.61071603949237,29.4372379556305,11,25,530,0.0012616125702488818,0.0015360983102918587,0.0020144584907524953,0.0012616125702488818,0.0015360983102918587,0.0020144584907524953,8235,20572,260959,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,LA,Louisiana,075,Plaquemines Parish,7,0,7,6,0,1172.743
22087,0,1,1,metro,metro,metro,1995,477,NA,NA,NA,NA,NA,22531,14326,1092,29174,3000,-89.66554926474849,29.869183774780762,-89.66554926474849,29.869183774780762,37,64,660,0.004243605918109875,0.003932411674347158,0.0025085709507483905,0.004243605918109875,0.003932411674347158,0.0025085709507483905,22899,52825,708050,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,LA,Louisiana,087,St. Bernard Parish,10,0,10,8,0,531.22
