fips,ruc93,ruc03,ruc13,metro93,metro03,metro13
5043,7,7,6,nonmetro,nonmetro,nonmetro
5045,2,2,2,metro,metro,metro
5047,6,2,6,nonmetro,metro,nonmetro
5049,9,9,9,nonmetro,nonmetro,nonmetro
5051,4,3,3,nonmetro,metro,metro
5053,6,2,2,nonmetro,metro,metro
5055,7,6,4,nonmetro,nonmetro,nonmetro
5057,6,6,6,nonmetro,nonmetro,nonmetro
5059,6,6,6,nonmetro,nonmetro,nonmetro
5061,7,7,6,nonmetro,nonmetro,nonmetro
5063,7,7,7,nonmetro,nonmetro,nonmetro
5065,9,9,9,nonmetro,nonmetro,nonmetro
5067,7,6,6,nonmetro,nonmetro,nonmetro
5069,3,3,3,metro,metro,metro
5071,7,6,7,nonmetro,nonmetro,nonmetro
5073,8,8,8,nonmetro,nonmetro,nonmetro
5075,7,6,6,nonmetro,nonmetro,nonmetro
5077,6,6,7,nonmetro,nonmetro,nonmetro
5079,8,3,3,nonmetro,metro,metro
5081,6,6,3,nonmetro,nonmetro,metro
5083,6,6,6,nonmetro,nonmetro,nonmetro
5085,2,2,2,metro,metro,metro
5087,8,2,2,nonmetro,metro,metro
5089,9,9,9,nonmetro,nonmetro,nonmetro
5091,3,3,3,metro,metro,metro
5093,4,4,4,nonmetro,nonmetro,nonmetro
5095,7,7,7,nonmetro,nonmetro,nonmetro
5097,9,8,8,nonmetro,nonmetro,nonmetro
5099,7,7,7,nonmetro,nonmetro,nonmetro
5101,9,9,9,nonmetro,nonmetro,nonmetro
5103,7,7,7,nonmetro,nonmetro,nonmetro
5105,8,2,2,nonmetro,metro,metro
5107,7,7,6,nonmetro,nonmetro,nonmetro
5109,9,9,9,nonmetro,nonmetro,nonmetro
5111,6,3,3,nonmetro,metro,metro
5113,7,7,7,nonmetro,nonmetro,nonmetro
5115,5,5,5,nonmetro,nonmetro,nonmetro
5117,8,8,8,nonmetro,nonmetro,nonmetro
5119,2,2,2,metro,metro,metro
5121,7,7,7,nonmetro,nonmetro,nonmetro
5123,6,6,6,nonmetro,nonmetro,nonmetro
5125,2,2,2,metro,metro,metro
5127,6,6,6,nonmetro,nonmetro,nonmetro
5129,9,9,9,nonmetro,nonmetro,nonmetro
5131,3,2,2,metro,metro,metro
5133,7,7,6,nonmetro,nonmetro,nonmetro
5135,7,7,7,nonmetro,nonmetro,nonmetro
5137,9,9,9,nonmetro,nonmetro,nonmetro
5139,5,5,7,nonmetro,nonmetro,nonmetro
5141,8,8,8,nonmetro,nonmetro,nonmetro
5143,3,2,2,metro,metro,metro
5145,4,4,4,nonmetro,nonmetro,nonmetro
5147,7,9,9,nonmetro,nonmetro,nonmetro
5149,7,6,6,nonmetro,nonmetro,nonmetro
6001,0,1,1,metro,metro,metro
6003,9,8,8,nonmetro,nonmetro,nonmetro
6005,6,6,6,nonmetro,nonmetro,nonmetro
6007,3,3,3,metro,metro,metro
6009,6,6,6,nonmetro,nonmetro,nonmetro
6011,6,6,6,nonmetro,nonmetro,nonmetro
6013,0,1,1,metro,metro,metro
6015,7,7,7,nonmetro,nonmetro,nonmetro
6017,1,1,1,metro,metro,metro
6019,2,2,2,metro,metro,metro
6021,6,6,6,nonmetro,nonmetro,nonmetro
6023,5,5,5,nonmetro,nonmetro,nonmetro
6025,4,3,3,nonmetro,metro,metro
6027,7,7,7,nonmetro,nonmetro,nonmetro
6029,2,2,2,metro,metro,metro
6031,4,3,3,nonmetro,metro,metro
6033,6,4,4,nonmetro,nonmetro,nonmetro
6035,6,6,7,nonmetro,nonmetro,nonmetro
6037,0,1,1,metro,metro,metro
6039,2,3,3,metro,metro,metro
6041,0,1,1,metro,metro,metro
6043,8,8,8,nonmetro,nonmetro,nonmetro
6045,4,4,4,nonmetro,nonmetro,nonmetro
6047,3,3,2,metro,metro,metro
6049,7,6,6,nonmetro,nonmetro,nonmetro
6051,7,7,7,nonmetro,nonmetro,nonmetro
6053,2,2,2,metro,metro,metro
6055,0,3,3,metro,metro,metro
6057,4,4,4,nonmetro,nonmetro,nonmetro
6059,0,1,1,metro,metro,metro
6061,1,1,1,metro,metro,metro
6063,6,7,7,nonmetro,nonmetro,nonmetro
6065,0,1,1,metro,metro,metro
6067,0,1,1,metro,metro,metro
6069,6,1,1,nonmetro,metro,metro
6071,0,1,1,metro,metro,metro
6073,0,1,1,metro,metro,metro
6075,0,1,1,metro,metro,metro
6077,2,2,2,metro,metro,metro
6079,3,3,2,metro,metro,metro
6081,0,1,1,metro,metro,metro
6083,2,2,2,metro,metro,metro
6085,0,1,1,metro,metro,metro
6087,0,2,2,metro,metro,metro
6089,3,3,3,metro,metro,metro
6091,8,8,8,nonmetro,nonmetro,nonmetro
6093,7,7,6,nonmetro,nonmetro,nonmetro
6095,0,2,2,metro,metro,metro
6097,0,2,2,metro,metro,metro
6099,2,2,2,metro,metro,metro
6101,3,3,3,metro,metro,metro
6103,6,4,4,nonmetro,nonmetro,nonmetro
6105,6,8,8,nonmetro,nonmetro,nonmetro
6107,2,2,2,metro,metro,metro
6109,6,4,4,nonmetro,nonmetro,nonmetro
6111,0,2,2,metro,metro,metro
6113,0,1,1,metro,metro,metro
6115,3,3,3,metro,metro,metro
8001,0,1,1,metro,metro,metro
8003,7,7,7,nonmetro,nonmetro,nonmetro
8005,0,1,1,metro,metro,metro
8007,9,7,7,nonmetro,nonmetro,nonmetro
8009,9,9,9,nonmetro,nonmetro,nonmetro
8011,9,7,7,nonmetro,nonmetro,nonmetro
8013,0,2,2,metro,metro,metro
8015,7,7,7,nonmetro,nonmetro,nonmetro
8017,9,9,9,nonmetro,nonmetro,nonmetro
8019,8,1,1,nonmetro,metro,metro
8021,9,9,9,nonmetro,nonmetro,nonmetro
8023,9,9,9,nonmetro,nonmetro,nonmetro
8025,8,8,8,nonmetro,nonmetro,nonmetro
8027,8,8,8,nonmetro,nonmetro,nonmetro
8029,7,6,6,nonmetro,nonmetro,nonmetro
8031,0,1,1,metro,metro,metro
8033,9,9,9,nonmetro,nonmetro,nonmetro
8035,1,1,1,metro,metro,metro
8037,7,5,5,nonmetro,nonmetro,nonmetro
8039,8,1,1,nonmetro,metro,metro
8041,2,2,2,metro,metro,metro
8043,6,4,4,nonmetro,nonmetro,nonmetro
8045,7,5,5,nonmetro,nonmetro,nonmetro
8047,8,1,1,nonmetro,metro,metro
8049,9,8,7,nonmetro,nonmetro,nonmetro
8051,7,7,7,nonmetro,nonmetro,nonmetro
8053,9,9,9,nonmetro,nonmetro,nonmetro
8055,6,6,6,nonmetro,nonmetro,nonmetro
8057,9,9,9,nonmetro,nonmetro,nonmetro
8059,0,1,1,metro,metro,metro
8061,9,9,9,nonmetro,nonmetro,nonmetro
8063,7,7,7,nonmetro,nonmetro,nonmetro
8065,7,7,6,nonmetro,nonmetro,nonmetro
8067,7,6,4,nonmetro,nonmetro,nonmetro
8069,3,2,2,metro,metro,metro
8071,7,7,7,nonmetro,nonmetro,nonmetro
8073,8,8,8,nonmetro,nonmetro,nonmetro
8075,7,7,7,nonmetro,nonmetro,nonmetro
8077,5,3,3,nonmetro,metro,metro
8079,9,9,9,nonmetro,nonmetro,nonmetro
8081,7,7,7,nonmetro,nonmetro,nonmetro
8083,7,6,6,nonmetro,nonmetro,nonmetro
8085,7,7,4,nonmetro,nonmetro,nonmetro
8087,6,6,6,nonmetro,nonmetro,nonmetro
8089,6,6,6,nonmetro,nonmetro,nonmetro
8091,9,9,9,nonmetro,nonmetro,nonmetro
8093,8,1,1,nonmetro,metro,metro
8095,9,9,9,nonmetro,nonmetro,nonmetro
8097,7,7,7,nonmetro,nonmetro,nonmetro
8099,7,7,7,nonmetro,nonmetro,nonmetro
8101,3,3,3,metro,metro,metro
8103,9,9,9,nonmetro,nonmetro,nonmetro
8105,7,7,7,nonmetro,nonmetro,nonmetro
8107,7,7,7,nonmetro,nonmetro,nonmetro
8109,9,9,9,nonmetro,nonmetro,nonmetro
8111,9,9,9,nonmetro,nonmetro,nonmetro
8113,9,9,9,nonmetro,nonmetro,nonmetro
8115,9,9,9,nonmetro,nonmetro,nonmetro
8117,9,7,5,nonmetro,nonmetro,nonmetro
8119,6,2,2,nonmetro,metro,metro
8121,9,9,9,nonmetro,nonmetro,nonmetro
8123,3,3,2,metro,metro,metro
8125,7,7,7,nonmetro,nonmetro,nonmetro
9001,2,2,2,metro,metro,metro
9003,0,1,1,metro,metro,metro
9005,4,4,4,nonmetro,nonmetro,nonmetro
9007,1,1,1,metro,metro,metro
9009,2,2,2,metro,metro,metro
9011,2,2,2,metro,metro,metro
9013,1,1,1,metro,metro,metro
9015,4,4,2,nonmetro,nonmetro,metro
10001,3,3,3,metro,metro,metro
10003,2,1,1,metro,metro,metro
10005,6,4,2,nonmetro,nonmetro,metro
11001,0,1,1,metro,metro,metro
12001,3,3,2,metro,metro,metro
12003,6,1,1,nonmetro,metro,metro
12005,3,3,3,metro,metro,metro
12007,6,6,6,nonmetro,nonmetro,nonmetro
12009,2,2,2,metro,metro,metro
12011,0,1,1,metro,metro,metro
12013,8,6,6,nonmetro,nonmetro,nonmetro
12015,3,3,3,metro,metro,metro
12017,4,4,3,nonmetro,nonmetro,metro
12019,2,1,1,metro,metro,metro
12021,3,2,2,metro,metro,metro
12023,6,6,4,nonmetro,nonmetro,nonmetro
12027,6,6,6,nonmetro,nonmetro,nonmetro
12029,9,6,6,nonmetro,nonmetro,nonmetro
12031,2,1,1,metro,metro,metro
12033,2,2,2,metro,metro,metro
12035,2,4,2,metro,nonmetro,metro
12037,7,6,6,nonmetro,nonmetro,nonmetro
12039,3,2,2,metro,metro,metro
12041,8,3,2,nonmetro,metro,metro
12043,8,6,6,nonmetro,nonmetro,nonmetro
12045,6,6,3,nonmetro,nonmetro,metro
12047,9,6,6,nonmetro,nonmetro,nonmetro
12049,6,6,6,nonmetro,nonmetro,nonmetro
12051,6,4,4,nonmetro,nonmetro,nonmetro
12053,0,1,1,metro,metro,metro
12055,6,4,3,nonmetro,nonmetro,metro
12057,0,1,1,metro,metro,metro
12059,7,6,6,nonmetro,nonmetro,nonmetro
12061,4,3,3,nonmetro,metro,metro
12063,6,6,6,nonmetro,nonmetro,nonmetro
12065,6,2,2,nonmetro,metro,metro
12067,9,8,9,nonmetro,nonmetro,nonmetro
12069,1,1,1,metro,metro,metro
12071,2,2,2,metro,metro,metro
12073,3,2,2,metro,metro,metro
12075,8,8,6,nonmetro,nonmetro,nonmetro
12077,8,8,8,nonmetro,nonmetro,nonmetro
12079,7,6,6,nonmetro,nonmetro,nonmetro
12081,2,2,2,metro,metro,metro
12083,3,2,2,metro,metro,metro
12085,2,2,2,metro,metro,metro
12086,0,1,1,metro,metro,metro
12087,4,4,4,nonmetro,nonmetro,nonmetro
12089,2,1,1,metro,metro,metro
12091,3,3,3,metro,metro,metro
12093,6,4,4,nonmetro,nonmetro,nonmetro
12095,0,1,1,metro,metro,metro
12097,1,1,1,metro,metro,metro
12099,2,1,1,metro,metro,metro
12101,0,1,1,metro,metro,metro
12103,0,1,1,metro,metro,metro
12105,2,2,2,metro,metro,metro
12107,6,4,4,nonmetro,nonmetro,nonmetro
12109,2,1,1,metro,metro,metro
12111,2,2,2,metro,metro,metro
12113,2,2,2,metro,metro,metro
12115,2,2,2,metro,metro,metro
12117,0,1,1,metro,metro,metro
12119,6,4,3,nonmetro,nonmetro,metro
12121,7,6,6,nonmetro,nonmetro,nonmetro
12123,7,6,6,nonmetro,nonmetro,nonmetro
12125,8,6,6,nonmetro,nonmetro,nonmetro
12127,2,2,2,metro,metro,metro
12129,8,2,2,nonmetro,metro,metro
12131,6,6,3,nonmetro,nonmetro,metro
12133,6,6,6,nonmetro,nonmetro,nonmetro
13001,7,7,7,nonmetro,nonmetro,nonmetro
13003,9,9,9,nonmetro,nonmetro,nonmetro
13005,7,7,7,nonmetro,nonmetro,nonmetro
13007,8,3,3,nonmetro,metro,metro
13009,4,4,4,nonmetro,nonmetro,nonmetro
13011,8,8,8,nonmetro,nonmetro,nonmetro
13013,1,1,1,metro,metro,metro
13015,1,1,1,metro,metro,metro
13017,7,7,7,nonmetro,nonmetro,nonmetro
13019,7,6,6,nonmetro,nonmetro,nonmetro
13021,2,3,3,metro,metro,metro
13023,6,6,6,nonmetro,nonmetro,nonmetro
13025,9,3,3,nonmetro,metro,metro
13027,7,3,3,nonmetro,metro,metro
13029,2,2,2,metro,metro,metro
13031,6,4,4,nonmetro,nonmetro,nonmetro
13033,6,2,2,nonmetro,metro,metro
13035,6,1,1,nonmetro,metro,metro
13037,8,8,8,nonmetro,nonmetro,nonmetro
13039,6,4,4,nonmetro,nonmetro,nonmetro
13043,7,7,7,nonmetro,nonmetro,nonmetro
13045,1,1,1,metro,metro,metro
13047,2,2,2,metro,metro,metro
13049,8,6,6,nonmetro,nonmetro,nonmetro
13051,2,2,2,metro,metro,metro
13053,2,2,2,metro,metro,metro
13055,7,6,6,nonmetro,nonmetro,nonmetro
13057,1,1,1,metro,metro,metro
13059,3,3,3,metro,metro,metro
13061,9,9,9,nonmetro,nonmetro,nonmetro
13063,0,1,1,metro,metro,metro
13065,7,6,6,nonmetro,nonmetro,nonmetro
13067,0,1,1,metro,metro,metro
13069,7,7,7,nonmetro,nonmetro,nonmetro
13071,7,6,6,nonmetro,nonmetro,nonmetro
13073,2,2,2,metro,metro,metro
13075,7,6,6,nonmetro,nonmetro,nonmetro
13077,1,1,1,metro,metro,metro
13079,8,3,3,nonmetro,metro,metro
13081,6,6,6,nonmetro,nonmetro,nonmetro
13083,2,2,2,metro,metro,metro
13085,8,1,1,nonmetro,metro,metro
13087,6,6,6,nonmetro,nonmetro,nonmetro
13089,0,1,1,metro,metro,metro
13091,7,7,6,nonmetro,nonmetro,nonmetro
13093,6,6,6,nonmetro,nonmetro,nonmetro
13095,3,3,3,metro,metro,metro
13097,0,1,1,metro,metro,metro
13099,6,6,6,nonmetro,nonmetro,nonmetro
13101,9,3,3,nonmetro,metro,metro
13103,2,2,2,metro,metro,metro
13105,6,6,6,nonmetro,nonmetro,nonmetro
13107,7,7,7,nonmetro,nonmetro,nonmetro
13109,8,6,6,nonmetro,nonmetro,nonmetro
13111,9,8,8,nonmetro,nonmetro,nonmetro
13113,1,1,1,metro,metro,metro
13115,4,3,3,nonmetro,metro,metro
13117,1,1,1,metro,metro,metro
13119,8,8,8,nonmetro,nonmetro,nonmetro
13121,0,1,1,metro,metro,metro
13123,8,6,6,nonmetro,nonmetro,nonmetro
13125,9,9,9,nonmetro,nonmetro,nonmetro
13127,5,3,3,nonmetro,metro,metro
13129,6,6,4,nonmetro,nonmetro,nonmetro
13131,6,6,6,nonmetro,nonmetro,nonmetro
13133,6,6,6,nonmetro,nonmetro,nonmetro
13135,0,1,1,metro,metro,metro
13137,7,6,6,nonmetro,nonmetro,nonmetro
13139,6,3,3,nonmetro,metro,metro
13141,9,7,7,nonmetro,nonmetro,nonmetro
13143,6,1,1,nonmetro,metro,metro
13145,2,2,2,metro,metro,metro
13147,6,6,6,nonmetro,nonmetro,nonmetro
13149,8,1,1,nonmetro,metro,metro
13151,1,1,1,metro,metro,metro
13153,2,3,3,metro,metro,metro
13155,7,7,7,nonmetro,nonmetro,nonmetro
13157,6,6,4,nonmetro,nonmetro,nonmetro
13159,8,1,1,nonmetro,metro,metro
13161,7,7,7,nonmetro,nonmetro,nonmetro
13163,8,6,6,nonmetro,nonmetro,nonmetro
13165,7,6,6,nonmetro,nonmetro,nonmetro
13167,9,9,7,nonmetro,nonmetro,nonmetro
13169,2,3,3,metro,metro,metro
13171,6,1,1,nonmetro,metro,metro
13173,9,3,3,nonmetro,metro,metro
13175,6,6,5,nonmetro,nonmetro,nonmetro
13177,3,3,3,metro,metro,metro
13179,4,3,3,nonmetro,metro,metro
13181,8,8,2,nonmetro,nonmetro,metro
13183,9,3,3,nonmetro,metro,metro
13185,5,3,3,nonmetro,metro,metro
13187,7,6,6,nonmetro,nonmetro,nonmetro
13189,2,2,2,metro,metro,metro
13191,9,3,3,nonmetro,metro,metro
13193,6,6,6,nonmetro,nonmetro,nonmetro
13195,3,3,3,metro,metro,metro
13197,8,2,2,nonmetro,metro,metro
13199,6,1,1,nonmetro,metro,metro
13201,9,8,8,nonmetro,nonmetro,nonmetro
13205,6,6,6,nonmetro,nonmetro,nonmetro
13207,6,3,3,nonmetro,metro,metro
13209,9,9,9,nonmetro,nonmetro,nonmetro
13211,6,6,1,nonmetro,nonmetro,metro
13213,7,3,3,nonmetro,metro,metro
13215,2,2,2,metro,metro,metro
13217,1,1,1,metro,metro,metro
13219,3,3,3,metro,metro,metro
13221,8,3,3,nonmetro,metro,metro
13223,1,1,1,metro,metro,metro
13225,2,6,3,metro,nonmetro,metro
13227,1,1,1,metro,metro,metro
13229,7,6,6,nonmetro,nonmetro,nonmetro
13231,8,1,1,nonmetro,metro,metro
13233,6,6,4,nonmetro,nonmetro,nonmetro
13235,6,6,3,nonmetro,nonmetro,metro
13237,6,6,6,nonmetro,nonmetro,nonmetro
13239,9,9,9,nonmetro,nonmetro,nonmetro
13241,9,9,7,nonmetro,nonmetro,nonmetro
13243,7,6,6,nonmetro,nonmetro,nonmetro
13245,2,2,2,metro,metro,metro
13247,1,1,1,metro,metro,metro
13249,9,8,8,nonmetro,nonmetro,nonmetro
13251,6,6,6,nonmetro,nonmetro,nonmetro
13253,6,6,6,nonmetro,nonmetro,nonmetro
13255,1,1,1,metro,metro,metro
13257,7,7,7,nonmetro,nonmetro,nonmetro
13259,8,8,8,nonmetro,nonmetro,nonmetro
13261,6,6,6,nonmetro,nonmetro,nonmetro
13263,8,8,8,nonmetro,nonmetro,nonmetro
13265,9,8,8,nonmetro,nonmetro,nonmetro
13267,7,6,6,nonmetro,nonmetro,nonmetro
13269,8,8,8,nonmetro,nonmetro,nonmetro
13271,7,7,7,nonmetro,nonmetro,nonmetro
13273,6,3,3,nonmetro,metro,metro
13275,6,4,4,nonmetro,nonmetro,nonmetro
13277,7,4,5,nonmetro,nonmetro,nonmetro
13279,7,7,7,nonmetro,nonmetro,nonmetro
13281,9,9,9,nonmetro,nonmetro,nonmetro
13283,7,7,7,nonmetro,nonmetro,nonmetro
13285,4,4,4,nonmetro,nonmetro,nonmetro
13287,7,6,6,nonmetro,nonmetro,nonmetro
13289,2,3,3,metro,metro,metro
13291,9,9,9,nonmetro,nonmetro,nonmetro
13293,7,6,6,nonmetro,nonmetro,nonmetro
13295,2,2,2,metro,metro,metro
13297,1,1,1,metro,metro,metro
13299,7,4,5,nonmetro,nonmetro,nonmetro
13301,8,8,8,nonmetro,nonmetro,nonmetro
13303,7,7,7,nonmetro,nonmetro,nonmetro
13305,7,6,6,nonmetro,nonmetro,nonmetro
13307,8,8,8,nonmetro,nonmetro,nonmetro
13309,9,9,9,nonmetro,nonmetro,nonmetro
13311,9,8,6,nonmetro,nonmetro,nonmetro
13313,4,3,3,nonmetro,metro,metro
13315,9,9,8,nonmetro,nonmetro,nonmetro
13317,6,6,6,nonmetro,nonmetro,nonmetro
13319,8,8,8,nonmetro,nonmetro,nonmetro
13321,6,3,3,nonmetro,metro,metro
15001,5,5,5,nonmetro,nonmetro,nonmetro
15003,2,2,2,metro,metro,metro
15005,5,9,3,nonmetro,nonmetro,metro
15007,5,5,5,nonmetro,nonmetro,nonmetro
15009,5,5,3,nonmetro,nonmetro,metro
16001,2,2,2,metro,metro,metro
16003,9,8,9,nonmetro,nonmetro,nonmetro
