FIPS10,year,fmr
01021,1992,297
01021,1993,304
01021,1994,320
01021,1995,311
01021,1996,332
01021,1997,336
01021,1998,343
01021,1999,347
01021,2000,347
01021,2001,350
01021,2002,359
01021,2003,370
01021,2004,370
01021,2005,446
01021,2006,459
01021,2007,477
01021,2008,543
01021,2009,580
01021,2010,612
01021,2011,612
01021,2012,554
01021,2013,594
01021,2014,566
01021,2015,599
01021,2016,569
01021,2017,621
01023,1983,303
01023,1985,314
01023,1986,288
01023,1987,294
01023,1988,302
01023,1989,306
01023,1990,313
01023,1991,321
01023,1992,332
01023,1993,340
01023,1994,265
01023,1995,258
01023,1996,332
01023,1997,336
01023,1998,343
01023,1999,347
01023,2000,347
01023,2001,350
01023,2002,359
01023,2003,370
01023,2004,370
01023,2005,392
01023,2006,435
01023,2007,453
01023,2008,481
01023,2009,514
01023,2010,536
01023,2011,536
01023,2012,640
01023,2013,745
01023,2014,692
01023,2015,708
01023,2016,661
01023,2017,685
01025,1983,289
01025,1985,300
01025,1986,288
01025,1987,294
01025,1988,302
01025,1989,306
01025,1990,313
01025,1991,321
01025,1992,332
01025,1993,340
01025,1994,296
01025,1995,288
01025,1996,332
01025,1997,336
01025,1998,343
01025,1999,347
01025,2000,347
01025,2001,350
01025,2002,359
01025,2003,370
01025,2004,370
01025,2005,422
01025,2006,435
01025,2007,453
01025,2008,481
01025,2009,514
01025,2010,536
01025,2011,536
01025,2012,499
01025,2013,584
01025,2014,566
01025,2015,599
01025,2016,569
01025,2017,621
01027,1983,244
01027,1985,254
01027,1986,261
01027,1987,267
01027,1988,274
01027,1989,278
01027,1990,284
01027,1991,291
01027,1992,301
01027,1993,308
01027,1994,259
01027,1995,258
01027,1996,332
01027,1997,336
01027,1998,343
01027,1999,347
01027,2000,347
01027,2001,350
01027,2002,359
01027,2003,370
01027,2004,370
01027,2005,423
01027,2006,435
01027,2007,453
01027,2008,481
01027,2009,514
01027,2010,536
01027,2011,536
01027,2012,499
01027,2013,584
01027,2014,566
01027,2015,599
01027,2016,569
01027,2017,621
01029,1983,262
01029,1985,272
01029,1986,261
01029,1987,267
01029,1988,274
01029,1989,278
01029,1990,284
01029,1991,291
01029,1992,301
01029,1993,308
01029,1994,299
01029,1995,291
01029,1996,332
01029,1997,336
01029,1998,343
01029,1999,347
01029,2000,347
01029,2001,350
01029,2002,359
01029,2003,370
01029,2004,370
01029,2005,427
01029,2006,439
01029,2007,457
01029,2008,487
01029,2009,520
01029,2010,542
01029,2011,541
01029,2012,501
01029,2013,660
01029,2014,597
01029,2015,695
