disaster,state,county,year,amount,structure,type,amount_sum
1763,Iowa,Linn,2008,32500,Single Family,Owner Occupied - Principal Residence,3356720
1763,Iowa,NA,2008,24354,Single Family,Rental,33115388
1757,Kentucky,NA,2008,391203,Single Family,Owner Occupied - Principal Residence,1609796
1815,Maine,NA,2008,410699,2-4 Family,Owner Occupied - Principal Residence,526354
1777,Michigan,Ingham,2008,63000,Single Family,Rental,91000
1777,Michigan,Kent,2008,72165,Single Family,Owner Occupied - Principal Residence,980685
1764,Mississippi,NA,2008,58193,Vacant Land,Not Applicable,58193
1760,Missouri,Greene,2008,70000,Single Family,Rental,166460
1749,Missouri,St. Louis,2008,3031810,Single Family,Owner Occupied - Principal Residence,3840039
1749,Missouri,Wayne,2008,30000,Single Family,Rental,142501
1801,North Carolina,Wake,2008,321753,Single Family,Owner Occupied - Principal Residence,321753
1805,Ohio,Butler,2008,1801810,Single Family,Owner Occupied - Principal Residence,1801810
1805,Ohio,Franklin,2008,1212918,Single Family,Owner Occupied - Principal Residence,1279918
1805,Ohio,Hamilton,2008,1232538,Single Family,Owner Occupied - Principal Residence,1232538
1745,Tennessee,NA,2008,696615,Single Family,Other (Specify in Comments),696615
1791,Texas,Dallas,2008,91000,Single Family,Owner Occupied - Principal Residence,1153500
1791,Texas,Nueces,2008,15000,Single Family,NA,15000
1825,Washington,NA,2008,390000,Single Family,Owner Occupied - Principal Residence,390000
1825,Washington,Pierce,2008,1140721,Single Family,Owner Occupied - Principal Residence,1140721
1769,West Virginia,McDowell,2008,36000,Single Family,Owner Occupied - Principal Residence,36000
1769,West Virginia,NA,2008,863000,Single Family,Owner Occupied - Principal Residence,863000
1768,Wisconsin,Crawford,2008,269854,Single Family,Owner Occupied - Principal Residence,389879
1768,Wisconsin,Grant,2008,66000,Single Family,Rental,367095
1768,Wisconsin,Jefferson,2008,211722,Vacant Land,Other (Specify in Comments),5602849
1768,Wisconsin,Kenosha,2008,443497,Single Family,Owner Occupied - Principal Residence,1269027
