disaster,state,county,year,amount,structure,type,amount_sum
1384,Oklahoma,NA,2001,50000,Single Family,Owner Occupied - Principal Residence,50000
1383,Pennsylvania,NA,2001,134000,Single Family,Owner Occupied - Principal Residence,306868
1387,Tennessee,NA,2001,136000,Single Family,Owner Occupied - Principal Residence,644956
1379,Texas,Brazoria,2001,7774453,Single Family,Owner Occupied - Principal Residence,9400846
1379,Texas,Galveston,2001,15505887,Single Family,Owner Occupied - Principal Residence,16130231
1379,Texas,Harris,2001,267792,Single Family,Owner Occupied - Principal Residence,53865272
1379,Texas,Liberty,2001,330750,Single Family,Owner Occupied - Principal Residence,2070272
1379,Texas,NA,2001,58984,Single Family,Owner Occupied - Principal Residence,269044
1386,Virginia,NA,2001,14280,Manufactured Home,Owner Occupied - Principal Residence,524520
1361,Washington,NA,2001,1417037,Single Family,Owner Occupied - Principal Residence,3100057
1378,West Virginia,NA,2001,21150,Single Family,Rental,8069970
1369,Wisconsin,Douglas,2001,72000,Single Family,Owner Occupied - Principal Residence,72000
1369,Wisconsin,NA,2001,115695,Single Family,Owner Occupied - Principal Residence,2025920
1438,Alabama,NA,2002,53520,Non-residential - Private,Other (Specify in Comments),476520
1440,Alaska,NA,2002,24000,Manufactured Home,Owner Occupied - Principal Residence,328566
1422,Arizona,NA,2002,171126,Manufactured Home,Owner Occupied - Principal Residence,266767
1443,Georgia,NA,2002,40000,Single Family,Owner Occupied - Principal Residence,40000
1426,Guam,NA,2002,16920,Non-residential - Public,Not Applicable,210373
1416,Illinois,NA,2002,101500,Single Family,Owner Occupied - Secondary Residence,1699936
1433,Indiana,NA,2002,505656,Single Family,Owner Occupied - Principal Residence,1303829
1420,Iowa,NA,2002,104171,Single Family,Owner Occupied - Principal Residence,1092842
1402,Kansas,NA,2002,500000,Single Family,Owner Occupied - Principal Residence,535000
1407,Kentucky,NA,2002,76500,Single Family,Owner Occupied - Secondary Residence,1908000
1437,Louisiana,Calcasieu,2002,79613,Single Family,Owner Occupied - Principal Residence,261308
1437,Louisiana,Livingston,2002,175000,Single Family,Owner Occupied - Principal Residence,477479
1437,Louisiana,Terrebonne,2002,71985,Single Family,Owner Occupied - Principal Residence,171985
1468,Maine,NA,2002,82139,Manufactured Home,Owner Occupied - Principal Residence,187139
1409,Maryland,NA,2002,130000,Manufactured Home,Owner Occupied - Principal Residence,309400
1419,Minnesota,NA,2002,65450,Single Family,Owner Occupied - Principal Residence,363561
1443,Mississippi,NA,2002,84704,Vacant Land,Other (Specify in Comments),2781095
1403,Missouri,Madison,2002,52631,Single Family,Rental,330302
1403,Missouri,NA,2002,67600,Manufactured Home,Owner Occupied - Principal Residence,9115552
1448,North Carolina,NA,2002,215528,Single Family,Owner Occupied - Principal Residence,879395
1444,Ohio,NA,2002,19852,Single Family,Owner Occupied - Principal Residence,19852
1401,Oklahoma,NA,2002,120500,Single Family,Owner Occupied - Principal Residence,1815489
1441,Tennessee,NA,2002,126000,Single Family,Owner Occupied - Principal Residence,1345800
1425,Texas,Bexar,2002,32640,Manufactured Home,Owner Occupied - Principal Residence,395943
1439,Texas,Harris,2002,107969,Single Family,Owner Occupied - Principal Residence,5113192
1425,Texas,NA,2002,73155,Single Family,Owner Occupied - Principal Residence,2515407
1428,Vermont,NA,2002,37058,Single Family,Owner Occupied - Principal Residence,37058
1406,Virginia,NA,2002,83000,Single Family,Owner Occupied - Principal Residence,1359181
1410,West Virginia,NA,2002,109040,Single Family,Owner Occupied - Principal Residence,2463542
1429,Wisconsin,Clark,2002,12000,Single Family,Owner Occupied - Principal Residence,12000
1432,Wisconsin,Douglas,2002,90671,Single Family,Owner Occupied - Principal Residence,90671
1432,Wisconsin,NA,2002,85857,Single Family,Owner Occupied - Principal Residence,551457
1466,Alabama,NA,2003,63000,Single Family,Owner Occupied - Principal Residence,2625045
1495,Delaware,NA,2003,292778,Single Family,Owner Occupied - Principal Residence,766028
1460,Florida,NA,2003,92348,Single Family,Owner Occupied - Principal Residence,147982
1469,Illinois,NA,2003,34453,Single Family,Owner Occupied - Principal Residence,60153
1476,Indiana,NA,2003,105500,Single Family,Owner Occupied - Principal Residence,2383290
1471,Kentucky,NA,2003,17500,Manufactured Home,Owner Occupied - Principal Residence,1784372
1492,Maryland,NA,2003,252000,Single Family,Owner Occupied - Principal Residence,578479
1459,Mississippi,NA,2003,35000,Single Family,Rental,685000
1463,Missouri,NA,2003,979942,Single Family,Owner Occupied - Principal Residence,1963500
1467,New York,Wyoming,2003,81000,Non-residential - Private,Other (Specify in Comments),81000
1490,North Carolina,NA,2003,118644,Single Family,Rental,2619188
1484,Ohio,NA,2003,317500,Single Family,Owner Occupied - Principal Residence,4075423
1485,Pennsylvania,NA,2003,39726,Single Family,Owner Occupied - Principal Residence,2082786
1485,Pennsylvania,Wyoming,2003,165000,Single Family,Owner Occupied - Principal Residence,165000
1501,Puerto Rico,NA,2003,83700,Single Family,Owner Occupied - Principal Residence,1641875
1482,Tennessee,NA,2003,96840,Vacant Land,Not Applicable,5284295
1479,Texas,NA,2003,76164,Single Family,NA,76164
1491,Virginia,NA,2003,55192,Single Family,Owner Occupied - Principal Residence,5464032
1499,Washington,NA,2003,389755,Single Family,Owner Occupied - Principal Residence,389755
1474,West Virginia,NA,2003,98000,Single Family,Owner Occupied - Principal Residence,3928870
1549,Alabama,NA,2004,187176,Non-residential - Public,Other (Specify in Comments),6871262
1571,Alaska,NA,2004,8500,Vacant Land,Other (Specify in Comments),34500
1561,Florida,NA,2004,49987,Single Family,Owner Occupied - Principal Residence,5665148
1560,Georgia,NA,2004,240590,Single Family,Rental,954548
1513,Illinois,NA,2004,147000,Single Family,Owner Occupied - Principal Residence,147000
1520,Indiana,NA,2004,81347,Single Family,Owner Occupied - Principal Residence,524199
1518,Iowa,NA,2004,192954,Single Family,Owner Occupied - Principal Residence,1689616
1535,Kansas,NA,2004,129813,Single Family,Owner Occupied - Principal Residence,227699
1523,Kentucky,NA,2004,145000,Single Family,Owner Occupied - Principal Residence,539400
1527,Michigan,NA,2004,279100,Single Family,Owner Occupied - Principal Residence,567439
1550,Mississippi,NA,2004,68500,Single Family,Owner Occupied - Principal Residence,1233936
1517,Nebraska,NA,2004,84715,Non-residential - Private,Other (Specify in Comments),356239
1530,New Jersey,Warren,2004,350411,Single Family,Owner Occupied - Principal Residence,916339
1546,North Carolina,NA,2004,292500,Single Family,Owner Occupied - Principal Residence,2849836
1515,North Dakota,NA,2004,36667,Single Family,Rental,613987
1556,Ohio,NA,2004,57653,Single Family,Rental,10152342
1557,Pennsylvania,NA,2004,87979,Manufactured Home,Rental,10767660
1557,Pennsylvania,Wyoming,2004,140952,Single Family,Owner Occupied - Principal Residence,211428
1552,Puerto Rico,NA,2004,762000,Single Family,Owner Occupied - Principal Residence,5809803
1568,Tennessee,NA,2004,115000,Non-residential - Private,Not Applicable,258000
1570,Virginia,NA,2004,70520,Single Family,Owner Occupied - Principal Residence,1283580
1558,West Virginia,NA,2004,20100,Single Family,Owner Occupied - Principal Residence,4426263
1526,Wisconsin,NA,2004,67000,Manufactured Home,Owner Occupied - Principal Residence,1356200
1605,Alabama,NA,2005,16800,Single Family,Owner Occupied - Principal Residence,308547
1573,Indiana,Adams,2005,139500,2-4 Family,Rental,2361795
1573,Indiana,NA,2005,69900,Single Family,Owner Occupied - Principal Residence,204982
1626,Kansas,NA,2005,78185,Single Family,Owner Occupied - Secondary Residence,498829
1617,Kentucky,NA,2005,38780,Single Family,Owner Occupied - Secondary Residence,38780
1603,Louisiana,Bossier,2005,426000,Single Family,Owner Occupied - Principal Residence,426000
1603,Louisiana,Caddo,2005,240000,Single Family,Owner Occupied - Principal Residence,480000
1607,Louisiana,NA,2005,96773,Single Family,Owner Occupied - Principal Residence,435401
1607,Louisiana,St. Mary,2005,80000,Single Family,Owner Occupied - Principal Residence,80000
1622,Minnesota,NA,2005,74700,Single Family,Owner Occupied - Principal Residence,335700
1604,Mississippi,Hancock,2005,327000,Single Family,Owner Occupied - Principal Residence,414000
1604,Mississippi,NA,2005,110500,Manufactured Home,Owner Occupied - Principal Residence,614491
1604,Mississippi,Warren,2005,57397,Single Family,Owner Occupied - Principal Residence,236737
1589,New York,Broome,2005,34800,Single Family,Rental,1649010
1589,New York,Schoharie,2005,38100,Single Family,Owner Occupied - Principal Residence,93792
1608,North Carolina,NA,2005,87782,Single Family,Rental,231037
1616,North Dakota,NA,2005,118000,Single Family,Owner Occupied - Principal Residence,444105
1623,Oklahoma,NA,2005,355000,Single Family,Owner Occupied - Principal Residence,1220000
1632,Oregon,NA,2005,348075,Single Family,Owner Occupied - Principal Residence,727616
1587,Pennsylvania,NA,2005,62000,Single Family,Rental,1133900
1606,Texas,Angelina,2005,981000,Single Family,Owner Occupied - Principal Residence,1061500
1606,Texas,Harris,2005,100000,Single Family,Owner Occupied - Principal Residence,100000
1606,Texas,NA,2005,44858,Single Family,Owner Occupied - Secondary Residence,134332
1606,Texas,Orange,2005,9999,Single Family,NA,9999
1606,Texas,Travis,2005,105021,Single Family,NA,7556555
1574,West Virginia,NA,2005,78500,Vacant Land,Not Applicable,636500
1681,Illinois,Winnebago,2006,1645000,Single Family,Owner Occupied - Principal Residence,3175600
1662,Indiana,Madison,2006,35883,Single Family,Rental,371810
1662,Indiana,NA,2006,141000,Non-residential - Private,Other (Specify in Comments),417150
